,subject,topic_label
34518,delivery status notification (failure),Delivery Status and Failures
34519,fba inbound shipment problem (fba17dh8s0r1),Disputes and Cases
34520,re: letter to ami ventures inc. c_o rupesh sanghavi and amee sanghavi re: unlawful sales of kidde products,Invoices and Support
34521,details about item: imperial sent a message about mini bulb 3.5 volt 125ma 500/bag #195904216400,Delivery Status and Failures
34522,summary of failures for google apps script: not found,System Notifications
34523,re: star-sellerusa sent a message about white heavy duty traverse rod - one way cord right #134666840945,Delivery Status and Failures
34524,sears order notification: po 1415632,Delivery Status and Failures
34525,"arima763 sent a message about leg avenue 3 pc storybook bombshell, incl gold color #364376045103",Delivery Status and Failures
34526,product details inquiry from amazon customer mommy&daddy,Customer Inquiries
34527,sears marketplace seller support request your feedback for case # 01158629,Disputes and Cases
34528,inquiry from amazon customer objeanobi,Customer Inquiries
34529,"libby804 has sent a question about item #134666840986, ending on 25-oct-2023 20:08:45 ist - antique gold 24 inch drop ruffled full size bed skirt unlined",Miscellaneous/Unknown
34530,a customer is waiting for an answer on prepac bma-0640 double width...,Customer Messages
34531,product details inquiry from amazon customer devin bryce,Customer Inquiries
34532,fba inbound shipment problem (fba17dtzd2m3),Disputes and Cases
34533,get your products featured on houzz!,Customer Messages
34534,"new at judge.me: review site improvements, automate requests for amazon, translate widgets, our next event",New Orders and Shipments
34535,your fedex claims status has been updated,Customer Inquiries
34536,soptho7148 sent a message about baxton studio poltak modern bohemian natural brown rattan  dining chair #126069536037,Customer Messages
34537,order cancelation request for order id: 113-6191581-6220219,Order Requests and Tickets
34538,"benit.branc sent a message about cabinet, oak #134677547162",Customer Messages
34539,"ups schedule delivery update, tracking number  1z4r08w00313838227",Promotions and Offers
34540,your payment is on its way,Disputes and Cases
34541,order cancelation request for order id: 112-8141487-9492250,Order Requests and Tickets
34542,order cancelation request for order id: 114-9359796-0063450,Order Requests and Tickets
34543,nan,Miscellaneous/Unknown
34544,"details about item: abcbytnt sent a message about valve in line 3/4 (pack of 1) #195971432034""",Delivery Status and Failures
34545,818paprika03 sent a message about flight suit infant crawler #354938360757,Delivery Status and Failures
34546,"message from walmart.com customer, ref id: 6d51db93b03e4353a5d1f274198cfbd7",Customer Messages
34547,product details inquiry from amazon customer jerry davis,Customer Inquiries
34548,teaatfour18 sent a message about pugly sweater hinged jar #355023819225,Delivery Status and Failures
34549,payment transferred to your bank account,Customer Messages
34550,drastic problems with 8â€™ christmas tree,Promotions and Offers
34551,more prime day deals to shop & save big!,Promotions and Offers
34552,ltl order - highlighted by system,Order Requests and Tickets
34553,"message from walmart.com customer:  ask a question, 200011319016729",Customer Messages
34554,eneydflore-0 sent a message about advantage navy church chairs 18.5 in. wide #354991852758,Delivery Status and Failures
34555,you have received a payment from walmart,Disputes and Cases
34556,your e-mail to ignacio gpe bernal villaseã±or,Delivery Status and Failures
34557,virventures tracking report from advanced graphics 10/10/2023,Customer Inquiries
34558,a customer is waiting for an answer on ecoflex albany outdoor feral...,Customer Messages
34559,please contact the customer - product information/suggestion,Customer Inquiries
34560,[free guide + template],Promotions and Offers
34561,"canceled: winsome inglewood dining, furniture-vir-b005nbwkko.",Customer Messages
34562,re: your dispute cases have received a resolution    [ ref:_00d61zktc._5008y2hpczz:ref ],Disputes and Cases
34563,re: hawwb # ov90379033,Miscellaneous/Unknown
34564,fedex tracking 782662049510 // case c-123297220,Customer Inquiries
34565,updates needed: walmart pre-owned,Promotions and Offers
34566,"jensofborg has sent a question about item #126027825351, ending on 25-oct-2023 16:59:29 ist - vidaxl bath enclosure 47.2x26.8""x51.2"" tempered glass stripe""",Delivery Status and Failures
34567,nan,Miscellaneous/Unknown
34568,re: star-sellerusa sent a message about antique gold 23 inch drop ruffled queen size bed skirt unlined #134666841775,Miscellaneous/Unknown
34569,automatic reply: 107025264702 [#472119],Delivery Status and Failures
34570,payment notification 00002714/191,Delivery Status and Failures
34571,your e-mail to ruthy price,Invoices and Support
34572,week 2: offer extended! waived peak season storage fees with wfs,Promotions and Offers
34573,product details enquiry from amazon customer patrick simons,Customer Inquiries
34574,re:[case 14032976741] customers has requested return,Disputes and Cases
34575,[bambini infant wear] bam26422 package in transit,Miscellaneous/Unknown
34576,orders shipped and charged,Order Requests and Tickets
34577,your e-mail to douglas w. maynard,Promotions and Offers
34578,credit memo for vir ventures inc. for invoice number - inv-16197189,Invoices and Support
34579,hottest prime day deals are live now!,Customer Messages
34580,"invoice 281190 from great day, inc.   [po number: grdi-1062]",New Orders and Shipments
34581,thayersoccermom sent a message about badger basket-london doll pram - executive gray #134669729577,Delivery Status and Failures
34582,your e-mail to cleatus,Miscellaneous/Unknown
34583,thank you for creating a new case: 14032976741,Disputes and Cases
34584,re: 0[virventures#vir72451ce0],Customer Inquiries
34585,"credit memo v1747459 from u ace, inc.",System Notifications
34586,increase organic sales by doing ppc,System Notifications
34587,your case is now closed    [ ref:_00d70kccm._5004u2ywfvd:ref ],Customer Messages
34588,confirm delivery date,Delivery Status and Failures
34589,re: [external] fedex claims update,Customer Inquiries
34590,thank you for creating a new case: 14032903591,Disputes and Cases
34591,re: [external] fedex claims update,Customer Inquiries
34592,fedex customer survey - email reference number: 71719023,New Orders and Shipments
34593,ticket has been created for order id #vv-in-136725,Order Requests and Tickets
34594,inquiry from amazon customer beverly,Customer Inquiries
34595,your case is now closed    [ ref:_00d70kccm._5004u2ywf61:ref ],Customer Messages
34596,nan,Miscellaneous/Unknown
34597,tracking #773407857869,Customer Inquiries
34598,credit memo for vir ventures inc. for invoice number - inv-16135257,Invoices and Support
34599,notificaciã³n de retirada de productos restringidos,Delivery Status and Failures
34600,credit memo for vir ventures inc. for invoice number - inv-16124908,Invoices and Support
34601,room & board just in!,System Notifications
34602,ticket has been created for order id #vv-in-136659,Order Requests and Tickets
34603,sears order notification: po 1415136,Delivery Status and Failures
34604,automatic reply: 107494708704 [#488698],Delivery Status and Failures
34605,re: 0[virventures#vir0f495970],Customer Inquiries
34606,houzz order #,Order Requests and Tickets
34607,"adriana575 sent a message about marshall premium ferret diet, 18-pound bag #195971436003",Delivery Status and Failures
34608,10 of our uncommon-est things,Customer Messages
34609,"message from walmart.com customer:  ask a question, 200011184988441",Customer Messages
34610,true fabrications: credit memo 188086cm,System Notifications
34611,credit memo for vir ventures inc. for invoice number - inv-16082047,Invoices and Support
34612,inquiry from amazon customer alison(order: 112-3303689-6945015),Customer Inquiries
34613,credit memo for vir ventures inc. for invoice number - inv-15962153,Invoices and Support
34614,re: updated returns policy_ocie,New Orders and Shipments
34615,updates for you: 11 new notifications,New Orders and Shipments
34616,shipping inquiry from amazon customer ventura coastal llc - vcllc,Customer Inquiries
34617,credit memo for vir ventures inc. for invoice number - inv-15905201,Invoices and Support
34618,"the post most: the gaza strip and its history, explained",New Orders and Shipments
34619,61% off ugg | $4 aa batteries 20-pack | $39 zero gravity chairs,System Notifications
34620,[request received] ticket id: (358579) - your email was received by kingston brass support,Order Requests and Tickets
34621,invoice from aps,Invoices and Support
34622,your fba request is complete (xn8b6wo314),Order Requests and Tickets
34623,inquiry from amazon customer lucy debes(order: 113-6766178-7703438),Customer Inquiries
34624,credit memo for vir ventures inc. for invoice number - inv-16129021,Invoices and Support
34625,join s&s at printing united expo: booth c331!,System Notifications
34626,your e-mail to daniel zhan,Customer Inquiries
34627,wmaradiaga2012 sent a message about advantage navy church chairs 18.5 in. wide #354991852758,Delivery Status and Failures
34628,"re: details about item: 05charmeleon sent a message about leg avenue 3 pc naughty napping princess, pink color #126110876901",Delivery Status and Failures
34629,houzz order 1779-3825-0450-2016,Order Requests and Tickets
34630,your e-mail to paula,Miscellaneous/Unknown
34631,ticket has been created for order id #vv-in-136696,Order Requests and Tickets
34632,credit memo for vir ventures inc. for invoice number - inv-16075809,Invoices and Support
34633,new order received,New Orders and Shipments
34634,sears order notification: po 1414905,Delivery Status and Failures
34635,sears order notification: po 1414795,Delivery Status and Failures
34636,ticket has been created for order id #vv-in-136645,Order Requests and Tickets
34637,daily order snapshot report,Order Requests and Tickets
34638,credit memo for vir ventures inc. for invoice number - inv-16024405,Invoices and Support
34639,re: case# 01158792: order refund/return request: vir ventures    [ ref:!00da00joof.!5005c01n8mbt:ref ],Customer Messages
34640,ticket has been created for order id #vv-in-136726,Order Requests and Tickets
34641,credit memo for vir ventures inc. for invoice number - inv-16111307,Invoices and Support
34642,ticket has been created for order id #vv-in-136679,Order Requests and Tickets
34643,solicitud de factura del cliente de amazon ignacio gpe bernal villaseã±or(pedido: 702-3249684-4979459),Delivery Status and Failures
34644,credit memo for vir ventures inc. for invoice number - inv-16117695,Invoices and Support
34645,credit memo for vir ventures inc. for invoice number - inv-16155705,Invoices and Support
34646,your e-mail to ely,Miscellaneous/Unknown
34647,credit memo for vir ventures inc. for invoice number - inv-16133288,Invoices and Support
34648,amfc - ky - order processing ips logistix - october 10th 2023 - batch 01,Invoices and Support
34649,your e-mail to mesia mcewing,Customer Inquiries
34650,"message from walmart.com customer:  initiate a return, 200011203140534",New Orders and Shipments
34651,this business makes 10k/month..,Order Requests and Tickets
34652,credit memo for vir ventures inc. for invoice number - inv-16027949,Invoices and Support
34653,your case is now closed    [ ref:_00d70kccm._5004u2ywelt:ref ],Customer Messages
34654,your case is now closed / cancellation in regards to po#    [ ref:_00d70kccm._5004u2ywes4:ref ],Delivery Status and Failures
34655,sears order #912826219 payment issue,Order Requests and Tickets
34656,credit memo for vir ventures inc. for invoice number - inv-15986581,Invoices and Support
34657,order shipped to your customer,Order Requests and Tickets
34658,these ideas are so you,System Notifications
34659,delivery status notification (failure),Delivery Status and Failures
34660,case# 01158792: order refund/return request: vir ventures [ ref:_00da0joof._5005c1n8mbt:ref ],Customer Messages
34661,sears order notification: po 1414671,Delivery Status and Failures
34662,inquiry from amazon customer ruthy price,Customer Inquiries
34663,your e-mail to kathryn rife,Invoices and Support
34664,your e-mail to cody,Miscellaneous/Unknown
34665,your email to amazon.com marketplace,New Orders and Shipments
34666,your e-mail to matt cosme,Delivery Status and Failures
34667,a fall dinner in the french countryside,Promotions and Offers
34668,â„ï¸horse losing their cool? we can help. check out our new calming bundle!â ,System Notifications
34669,"joecool-17 has sent a question about item #354959993260, ending on 04-nov-2023 19:18:24 ist - nba houston rockets licensed 2017-18 hoops team set plus 2017-18 hoops all-st...",Delivery Status and Failures
34670,your e-mail to lisa haimbaugh,New Orders and Shipments
34671,your e-mail to michael j. wiederspahn,Customer Inquiries
34672,claim 783018955178,Customer Inquiries
34673,reminder: exclusive amazon prime big deal offer,Promotions and Offers
34674,credit memo for vir ventures inc. for invoice number - inv-15782245,Invoices and Support
34675,fw: updated return policy_prma,New Orders and Shipments
34676,return,New Orders and Shipments
34677,fw: updated return policy_prca,New Orders and Shipments
34678,delivery status notification (failure),Delivery Status and Failures
34679,"cozy, sexy & gorgeous sleepwear ",Disputes and Cases
34680,prime day exclusive: azulle mini pcs on sale now!,Promotions and Offers
34681,re: updated returns policy_rcip,New Orders and Shipments
34682,credit memo for vir ventures inc. for invoice number - inv-16121533,Invoices and Support
34683,response needed related to overdue orders,Disputes and Cases
34684,nan,Miscellaneous/Unknown
34685,delivery status notification (failure),Delivery Status and Failures
34686,your fedex claims status has been updated,Customer Inquiries
34687,delivery status notification (failure),Delivery Status and Failures
34688,nan,Miscellaneous/Unknown
34689,re: need more info for dispute case #05680789    [ ref:_00d61zktc._5008y2hqc5r:ref ],Disputes and Cases
34690,your e-mail to anthony sorrento,Customer Inquiries
34691,credit memo for vir ventures inc. for invoice number - inv-16057084,Invoices and Support
34692,anitbigsb0 sent a message about caroline is treasures pink ribbon for breast cancer awareness cup holder car c... #126048241869,Customer Messages
34693,action required: please review your flagged orders,Order Requests and Tickets
34694,your elegant credit memo # cm144569,System Notifications
34695,re: updated return address_atan,New Orders and Shipments
34696,delivery status notification (failure),Delivery Status and Failures
34697,delivery status notification (failure),Delivery Status and Failures
34698,"nandansons wholesale specials price list for october 10, 2023",Invoices and Support
34699,follow - up for order id #vv-in-136865,Order Requests and Tickets
34700,re: [external] 073210686700453 [virventures#vir7f9a8ddc],Customer Inquiries
34701,we have received your dispute case #05696503!,Disputes and Cases
34702,inquiry from amazon customer douglas w. maynard(order: 111-8476540-3478638),Customer Inquiries
34703,delivery status notification (failure),Delivery Status and Failures
34704,receipt of payment,Disputes and Cases
34705,a new device has logged in to your shopify account,New Orders and Shipments
34706,order cancelation request for order id: 113-0006623-0577851,Order Requests and Tickets
34707,vv-us-cdb-33557 return tracking 9301920585500127495896,Customer Inquiries
34708,need more info for dispute case #05696503,Disputes and Cases
34709,delivery status notification (failure),Delivery Status and Failures
34710,we have received your dispute case #05701888!,Disputes and Cases
34711,delivery status notification (failure),Delivery Status and Failures
34712,delivery status notification (failure),Delivery Status and Failures
34713,sears order notification: po 1414571,Delivery Status and Failures
34714,take action: one or more of your offers are not eligible to be a featured offer (buy box),Promotions and Offers
34715,your dispute case #05681031 is closed,Disputes and Cases
34716,delivery status notification (failure),Delivery Status and Failures
34717,return requests are overdue,Order Requests and Tickets
34718,need more info for dispute case #05695941,Disputes and Cases
34719,delivery status notification (failure),Delivery Status and Failures
34720,bbb of houston and south texas- complaint regarding your business #20716671,Order Requests and Tickets
34721,nonm-114-4501802-3281861,New Orders and Shipments
34722,sears marketplace notification - products in your catalog have been reinstated,Delivery Status and Failures
34723,the 5 highest-paid influencers of 2023,Promotions and Offers
34724,explore new curated bath vanity collections,Customer Inquiries
34725,delivery status notification (failure),Delivery Status and Failures
34726,delivery status notification (failure),Delivery Status and Failures
34727,cyber specials are here â€” no membership required to save!,System Notifications
34728,your fba removal request is complete (y2xyemeiqd),Invoices and Support
34729,delivery status notification (failure),Delivery Status and Failures
34730,delivery status notification (failure),Delivery Status and Failures
34731,keep writing to see your super stats.,Promotions and Offers
34732,how did we do?,New Orders and Shipments
34733,ergodians - we would love your feedback.,Invoices and Support
34734,nan,Miscellaneous/Unknown
34735,your dispute cases have received a resolution,Disputes and Cases
34736,your dispute cases have received a resolution,Disputes and Cases
34737,follow - up for order id #vv-in-136862,Order Requests and Tickets
34738,virventuresinc tracking file-10-10-2023,Customer Inquiries
34739,delivery status notification (failure),Delivery Status and Failures
34740,"request to cancel this order: pascro_587 sent a message about led panel control box with power adaptor for fx"" cases #134666834591""",Customer Messages
34741,beat the holiday rush! shop prime big deal days now,Promotions and Offers
34742,delivery status notification (failure),Delivery Status and Failures
34743,[request received] ticket id: (358482) - your email was received by kingston brass support,Order Requests and Tickets
34744,clemenceandco sent a message about erin gates woodland wod-2 leopard /beige -10' x 14' #195934661453,Delivery Status and Failures
34745,the_hostess_with_the_mostess sent a message about whynter 1.28 quart compact upright automatic ice cream maker with stainless s... #355004566227,Delivery Status and Failures
34746,delivery status notification (failure),Delivery Status and Failures
34747,delivery status notification (failure),Delivery Status and Failures
34748,delivery status notification (failure),Delivery Status and Failures
34749,your fedex claim has been denied,Customer Inquiries
34750,shipping inquiry from amazon customer daniel zhan,Customer Inquiries
34751,nan,Miscellaneous/Unknown
34752,delivery status notification (failure),Delivery Status and Failures
34753,we have updated your fedex claim resolution,Promotions and Offers
34754,delivery status notification (failure),Delivery Status and Failures
34755,"offer expired for drip pan porcelain/black 9.125x9.3125&quot;, sgl pk",Promotions and Offers
34756,order manifest for 10/10/2023 12:01:00,Order Requests and Tickets
34757,"melrose international  drop ship order 921955,   po melr-879 has been received.  virventures inc (drop ship).",Disputes and Cases
34758,delivery status notification (failure),Delivery Status and Failures
34759,delivery status notification (failure),Delivery Status and Failures
34760,product details inquiry from amazon customer cleatus,Customer Inquiries
34761,union7 sent a message about compatible with tie down engineering 59002 swivel head bracket #126081356155,Delivery Status and Failures
34762,delivery status notification (failure),Delivery Status and Failures
34763,melrose international orders on hold.  virventures inc (drop ship).   drop ship,Disputes and Cases
34764,[case id:13983220621]*your case resolved* other account issues,Disputes and Cases
34765,damia-powel sent a message about prox xs-ddj1000wltbl flight case for pioneer ddj-1000 & ddj-1000 srt digital ... #195971436099,Delivery Status and Failures
34766,"shipping: benjazia sent a message about westhaven system with lewiston mailbox, (3 cast plates) square collar & pyram... #126027823132",Delivery Status and Failures
34767,sears marketplace notification - urgent message regarding the status of your products,Delivery Status and Failures
34768,carmodystar sent a message about vidaxl power lift massage recliner anthracite faux leather #364443147992,Delivery Status and Failures
34769,"message from walmart.com customer:  ask a question, 200011273820306",Customer Messages
34770,** please do not respond to this email - it was sent from non-monitored mailbox **  [<ar435260>],Delivery Status and Failures
34771,eneydflore-0 sent a message about advantage navy church chairs 18.5 in. wide #354991852758,Delivery Status and Failures
34772,return policy inquiry from amazon customer paula(order: 113-9113761-8827457),Customer Inquiries
34773,[urgent] action required: update the required billing details.,Order Requests and Tickets
34774,sears order notification: po 1414213,Delivery Status and Failures
34775,virventures tracking report from advanced graphics 10/09/2023,Customer Inquiries
34776,your e-mail to robert zitter,Customer Inquiries
34777,"message from walmart.com customer, ref id: d7936474349947c5823b2df2a281d903",Customer Messages
34778,thank you for your request [email id: 17662574],Order Requests and Tickets
34779,tiktok x virventures potential partnership,System Notifications
34780,ben-vintage sent a message about angels song blk rd box #195923477901,Delivery Status and Failures
34781,nan,Miscellaneous/Unknown
34782,automatic reply: 595245325,Delivery Status and Failures
34783,"re: lavoniatxjr has sent a question about item #364376046193, ending on oct-26-23 06:35:14 pdt - wooden night stand with hidden drawer, cherry brown",Customer Messages
34784,asn for po: fba17d3qwq0k,Delivery Status and Failures
34785,shop walmart is holiday kickoff now!,Promotions and Offers
34786,ticket has been created for order id #nonm-111-7482115-8998623,Order Requests and Tickets
34787,order cancelation request for order id: 112-8101304-3617836,Order Requests and Tickets
34788,important! grant walmart permission to update invalid condition inputs,Promotions and Offers
34789,a new response has been added to case #05655574!,Disputes and Cases
34790,"organdonors0xs3 sent a message about celestial seasonings, tea grn hny lmn gsng, 20 bg, (pack of 6) #195971437002",Delivery Status and Failures
34791,your e-mail to pamela fennewald,Miscellaneous/Unknown
34792,aquascape mapp violation notice - [response required],Order Requests and Tickets
34793,price drop alert!,Invoices and Support
34794,re: [external] fedex claims update,Customer Inquiries
34795,re: [external] fedex claims update,Customer Inquiries
34796,re: [external] fedex claims update,Customer Inquiries
34797,re: [external] fedex claims update,Customer Inquiries
34798,re: [external] fedex claims update,Customer Inquiries
34799,follow - up for order id #vv-in-136847,Order Requests and Tickets
34800,ticket has been created for order id #ap131576,Order Requests and Tickets
34801,credit memo for vir ventures inc. for invoice number - inv-15940722,Invoices and Support
34802,re: [external] fedex claims update,Customer Inquiries
34803,inquiry from amazon customer ely,Customer Inquiries
34804,re: [external] fedex claims status,Customer Inquiries
34805,re: [external] fedex claim update,Customer Inquiries
34806,sears order notification: po 1414011,Delivery Status and Failures
34807,re: [external] fedex claims update,Customer Inquiries
34808,re: [external] fedex claims update,Customer Inquiries
34809,re: [external] fedex claims update,Customer Inquiries
34810,re: [external] fedex claims update,Customer Inquiries
34811,re: [external] fedex claims update,Customer Inquiries
34812,re: [external] fedex claims update,Customer Inquiries
34813,re: [external] fedex claims update,Customer Inquiries
34814,re: [external] fedex claims update,Customer Inquiries
34815,re: [external] fedex claim update,Customer Inquiries
34816,thayersoccermom sent a message about badger basket-london doll pram - executive gray #134669729577,Delivery Status and Failures
34817,ready for pick up in houston now,New Orders and Shipments
34818,inquiry from amazon customer mesia mcewing(order: 114-6431698-8328208),Customer Inquiries
34819,credit memo for vir ventures inc. for invoice number - inv-16133287,Invoices and Support
34820,re: [external] fedex claims update,Customer Inquiries
34821,re: [external] fedex claim update,Customer Inquiries
34822,re: [external] fedex claims update,Customer Inquiries
34823,re: [external] fedex claims update,Customer Inquiries
34824,re: [external] fedex claim update,Customer Inquiries
34825,re: [external] fedex claim update,Customer Inquiries
34826,re: [external] fedex claims update,Customer Inquiries
34827,re: [external] fedex claims status,Customer Inquiries
34828,re: [external] fedex claim update,Customer Inquiries
34829,credit memo for vir ventures inc. for invoice number - inv-15690112,Invoices and Support
34830,re: [external] fedex claim update,Customer Inquiries
34831,re: [external] fedex claim update,Customer Inquiries
34832,credit memo for vir ventures inc. for invoice number - inv-15958788,Invoices and Support
34833,re: [external] fedex claim update,Customer Inquiries
34834,automatic reply: 607535242,Delivery Status and Failures
34835,picture of damage items,System Notifications
34836,ticket has been created for order id #vv-us-cdb-34174,Order Requests and Tickets
34837,ticket has been created for order id #thp4200107479222073-1,Order Requests and Tickets
34838,ticket has been created for order id #nonm-sr202309291401435,Order Requests and Tickets
34839,credit memo for vir ventures inc. for invoice number - inv-16132358,Invoices and Support
34840,fedex claim for tracking number 782211424147,Customer Inquiries
34841,re: [external] fedex claim update,Customer Inquiries
34842,re: [external] fedex claim update,Customer Inquiries
34843,inquiry from amazon customer cody(order: 114-7521487-9729037),Customer Inquiries
34844,re: [external] fedex claim update,Customer Inquiries
34845,re: [external] fedex claim update,Customer Inquiries
34846,automatic reply: 107494708704,Delivery Status and Failures
34847,re: updated return policy_vvwh,New Orders and Shipments
34848,gifts under $100 (and even $75... $50... $25...),Promotions and Offers
34849,homeowners are saving your photos on houzz,System Notifications
34850,order cancelation request for order id: 114-5331789-2349864,Order Requests and Tickets
34851,return policy inquiry from amazon customer kathryn rife(order: 112-3341878-4109824),Customer Inquiries
34852,re: case# 01158629: order refund/return request: vir ventures    [ ref:!00da00joof.!5005c01n8dmz:ref ],Customer Messages
34853,appt request,Order Requests and Tickets
34854,macher90210 sent a message about erin gates woodland wod-2 leopard /beige -10' x 14' #195934661453,Delivery Status and Failures
34855,new invoice 0594802 & tracking from pyramid time systems,System Notifications
34856,new invoice 0594803 & tracking from pyramid time systems,System Notifications
34857,new invoice 0594804 & tracking from pyramid time systems,System Notifications
34858,new invoice 0594806 & tracking from pyramid time systems,System Notifications
34859,new invoice 0594805 & tracking from pyramid time systems,System Notifications
34860,new invoice 0594807 & tracking from pyramid time systems,System Notifications
34861,new invoice 0594808 & tracking from pyramid time systems,System Notifications
34862,new invoice 0594809 & tracking from pyramid time systems,System Notifications
34863,new invoice 0594810 & tracking from pyramid time systems,System Notifications
34864,new invoice 0594811 & tracking from pyramid time systems,System Notifications
34865,inquiry from amazon customer michael j. wiederspahn,Customer Inquiries
34866,automatic reply: missed delivery appointment - pro 107494707304 [#472127],Delivery Status and Failures
34867,how to design eye-catching marketing emails,New Orders and Shipments
34868,adidas is here to leave a legacy that lasts,Promotions and Offers
34869,order acknowledgement for order# fx8903,Order Requests and Tickets
34870,credit request for po  has been submitted    [ ref:_00d70kccm._5004u2ywpcj:ref ],Customer Messages
34871,amfc - ky - order processing ips logistix - october 9th 2023 - batch 01,Invoices and Support
34872,re: updated returns policy_wmal,New Orders and Shipments
34873,automatic reply: 106395584905 [#486124],Delivery Status and Failures
34874,inquiry from amazon customer matt cosme(order: 111-9267566-4359453),Customer Inquiries
34875,[urgent] action required: update the required billing details.,Order Requests and Tickets
34876,[bambini infant wear] bam26411 package in transit,Miscellaneous/Unknown
34877,credit memo for vir ventures inc. for invoice number - inv-16123143,Invoices and Support
34878,invoice 172568 from lakeland mills llc,Invoices and Support
34879,fedex has received your email - email reference number: 71685823,New Orders and Shipments
34880,case #: c-122878893 tracking number-772952450532,Disputes and Cases
34881,invoice 172567 from lakeland mills llc,Invoices and Support
34882,protect your passwords with 20% off,New Orders and Shipments
34883,return request,Order Requests and Tickets
34884,shipping inquiry from amazon customer lisa haimbaugh,Customer Inquiries
34885,the post most: israel orders siege of gaza strip,New Orders and Shipments
34886,fedex has received your email - email reference number: 71685288,New Orders and Shipments
34887,action needed regarding your sears marketplace performance,Delivery Status and Failures
34888,fwd: message from larry pratt: not satisfied,Customer Messages
34889,sears.com notification - low inventory alert,Delivery Status and Failures
34890,sears.com notification - item out of stock,Delivery Status and Failures
34891,a customer is waiting for an answer on rockland prd322 luggage rolling...,Customer Messages
34892,credit memo for vir ventures inc. for invoice number - inv-16026141,Invoices and Support
34893,re: updated return address_cdis,New Orders and Shipments
34894,re: updated returns policy_sher,New Orders and Shipments
34895,"re: message from walmart.com customer, ref id: e0c2d610466e4fea821a2ed0d3055289",Customer Messages
34896,credit memo for vir ventures inc. for invoice number - inv-15840945,Invoices and Support
34897,c-123302835 - 655149998467,New Orders and Shipments
34898,strait_fan23 sent a message about bowling green state university #354938507306,Delivery Status and Failures
34899,credit memo for vir ventures inc. for invoice number - inv-16019572,Invoices and Support
34900,payment receipt  from the forsyth group,Invoices and Support
34901,make an offer: richessentials sent a message about compatible with cookware 10 pc set non-stick #126081355402,Promotions and Offers
34902,âœ¨ weâ€™re your concert-prep headquarters â€”> shop supplies here! âœ¨,Promotions and Offers
34903,bigtoysusa sent a message about folding mobility electric trike 48v 700w dual motor lithium black #134669741857,Customer Messages
34904,$39 6.5' pre-lit christmas tree | $29 7-piece comforter set | le creuset from $11,Promotions and Offers
34905,ticket has been created for order id #vv-us-61730,Order Requests and Tickets
34906,[request received] ticket id: (358275) - your email was received by kingston brass support,Order Requests and Tickets
34907,safe,Customer Messages
34908,"auto response [cse: o2fsfv, tkt: c1etxa]",Miscellaneous/Unknown
34909,daily order snapshot report,Order Requests and Tickets
34910,order cancelation request for order id: 112-0391290-5782660,Order Requests and Tickets
34911,follow - up for order id #vv-us-cdb-34393,Order Requests and Tickets
34912,fedex has received your email - email reference number: 71682159,New Orders and Shipments
34913,case number c-124351460 ref-16064 for tracking number 315233570981113,New Orders and Shipments
34914,re: [external] updated return policy for medc,Customer Inquiries
34915,nan,Miscellaneous/Unknown
34916,re: updated returns policy_adva,New Orders and Shipments
34917,nan,Miscellaneous/Unknown
34918,your dispute case #05676767 is closed,Disputes and Cases
34919,rust-howar sent a message about 57-f1-3100-00w m310-1 - model 310,Delivery Status and Failures
34920,case# 01158629: order refund/return request: vir ventures [ ref:_00da0joof._5005c1n8dmz:ref ],Customer Messages
34921,madelab96 sent a message about uniden - 4 pin replacement microphone for pc68xl & pc78xl #364377480334,Delivery Status and Failures
34922,automatic reply: 107025264702 [#472119],Delivery Status and Failures
34923,your e-mail to matthew  e gonzales,Customer Inquiries
34924,your e-mail to jack,Delivery Status and Failures
34925,"â¤ customer, you have a good eye",New Orders and Shipments
34926,we think you will love these,System Notifications
34927,inquiry from amazon customer anthony sorrento,Customer Inquiries
34928,order shipped to your customer,Order Requests and Tickets
34929,order confirmation,Customer Inquiries
34930,re: updated return address_anaa,New Orders and Shipments
34931,your walmart.com product(s) has been removed due to policy violations,Customer Inquiries
34932,re: [external] claim status requested,Customer Inquiries
34933,"trust me, this is extraordinary..",New Orders and Shipments
34934,your e-mail to anthony sorrento,Customer Inquiries
34935,your e-mail to beth whaley,Miscellaneous/Unknown
34936,your e-mail to mesia mcewing,Customer Inquiries
34937,inquiry from amazon customer robert zitter(order: 114-3744691-9525015),Customer Inquiries
34938,credit request for po  has been submitted    [ ref:_00d70kccm._5004u2ywh6p:ref ],Customer Messages
34939,re: virventures_us sent a message about cm designs ruler 6 add-a-quarter pink cmdesignsruler6addaquarterpink,Delivery Status and Failures
34940,confirmation from fedex email/online label,New Orders and Shipments
34941,looking for the perfect underwear set?,Customer Messages
34942,case #05579385: receiving delays - no shipment id    [ ref:_00d61zktc._5008y2gurq6:ref ],Disputes and Cases
34943,notificaciã³n de retirada de productos restringidos,Delivery Status and Failures
34944,your amazon prime big deal highlight: 3 months of bidx for the price of 2 with full service!,Invoices and Support
34945,eric arnold and others share their thoughts on linkedin,System Notifications
34946,re: ext*updated return address_tris,New Orders and Shipments
34947,nan,Miscellaneous/Unknown
34948,inquiry from amazon customer pamela fennewald(order: 111-8251209-3810601),Customer Inquiries
34949,"nandansons wholesale specials price list for october 9, 2023",Invoices and Support
34950,re: we have received your case #05696560!    [ ref:_00d61zktc._5008y2hr8jf:ref ],Customer Messages
34951,your fedex claims status has been updated,Customer Inquiries
